current_time,weather,temp,humidity
2025-08-11 06:45:36,Clouds,28.76,74
2025-08-11 07:02:37,Clouds,28.76,74
2025-08-11 07:33:47,Clouds,29.76,66
2025-08-11 07:50:08,Clouds,29.76,66
2025-08-11 08:16:17,Clouds,28.83,68
2025-08-11 08:47:52,Clouds,29.76,66
2025-08-11 09:14:02,Clouds,27.76,74
2025-08-11 09:42:55,Clouds,27.76,74
2025-08-11 09:56:34,Clouds,27.76,74
2025-08-11 10:29:54,Clouds,27.76,78
2025-08-11 10:51:38,Clouds,27.76,78
2025-08-11 11:13:02,Clouds,25.89,79
2025-08-11 11:31:59,Clouds,26.76,83
2025-08-11 11:45:54,Clouds,26.76,83
2025-08-11 11:57:02,Clouds,26.76,83
2025-08-11 12:58:54,Clear,24.76,88
2025-08-11 13:44:03,Clear,24.76,88
2025-08-11 14:00:34,Clear,24.76,88
2025-08-11 14:33:35,Clear,24.76,88
2025-08-11 14:53:34,Clear,24.76,88
2025-08-11 15:20:27,Clear,22.91,89
2025-08-11 15:41:58,Clear,23.76,100
2025-08-11 15:56:30,Clear,23.76,100
2025-08-11 16:34:36,Clouds,22.76,100
2025-08-11 16:56:23,Clouds,22.76,100
2025-08-11 17:25:14,Clear,22.76,100
2025-08-11 17:46:04,Mist,22.76,100
2025-08-11 17:57:23,Mist,22.76,100
2025-08-11 18:41:16,Mist,22.76,100
2025-08-11 19:00:10,Mist,22.76,100
2025-08-11 19:25:20,Clear,20.76,100
2025-08-11 19:40:33,Mist,20.76,100
2025-08-11 19:51:46,Mist,20.76,100
2025-08-11 20:15:03,Clear,20.76,100
2025-08-11 20:36:40,Mist,20.76,100
2025-08-11 20:50:45,Mist,20.76,100
2025-08-11 21:11:12,Mist,20.76,100
2025-08-11 21:30:25,Mist,20.76,100
2025-08-11 21:43:38,Mist,20.76,100
2025-08-11 21:55:03,Mist,20.76,100
2025-08-11 22:20:39,Clear,22.9,96
2025-08-11 22:40:56,Mist,23.76,100
2025-08-11 22:52:21,Mist,23.76,100
2025-08-11 23:14:17,Mist,23.76,100
